Order,Seasonal order,Result
"(0, 1, 1)","(1, 1, 1, 12)",46598.436275380984
"(0, 1, 1)","(1, 1, 2, 12)",45464.78094114989
"(0, 1, 1)","(1, 2, 0, 12)",77394.63790096821
"(0, 1, 1)","(1, 2, 1, 12)",58040.25351923311
"(0, 1, 1)","(1, 2, 2, 12)",46748.87336572811
"(0, 1, 1)","(2, 0, 0, 12)",47509.57908359707
"(0, 1, 1)","(2, 0, 1, 12)",47511.13743601419
"(0, 1, 1)","(2, 0, 2, 12)",45151.17397973748
"(0, 1, 1)","(2, 1, 0, 12)",55034.15145486417
"(0, 1, 1)","(2, 1, 1, 12)",46443.27655421099
"(0, 1, 1)","(2, 1, 2, 12)",45466.780067847525
"(0, 1, 1)","(2, 2, 0, 12)",72565.35518683396
"(0, 1, 1)","(2, 2, 1, 12)",55112.42891748652
"(0, 1, 1)","(2, 2, 2, 12)",46674.74357391102
"(0, 1, 2)","(0, 0, 0, 12)",47274.906782169
"(0, 1, 2)","(0, 0, 1, 12)",47249.30375774688
"(0, 1, 2)","(0, 0, 2, 12)",47235.847684060165
"(0, 1, 2)","(0, 1, 0, 12)",64694.29466525983
"(0, 1, 2)","(0, 1, 1, 12)",46215.17702233667
"(0, 1, 2)","(0, 1, 2, 12)",46005.50570890128
"(0, 1, 2)","(0, 2, 0, 12)",91495.41588472029
"(0, 1, 2)","(0, 2, 1, 12)",64730.4689854732
"(0, 1, 2)","(0, 2, 2, 12)",46405.49023279206
"(0, 1, 2)","(1, 0, 0, 12)",47252.38306511121
"(0, 1, 2)","(1, 0, 1, 12)",47250.77503638844
"(0, 1, 2)","(1, 0, 2, 12)",47237.845036874234
"(0, 1, 2)","(1, 1, 0, 12)",57398.57593885154
"(0, 1, 2)","(1, 1, 1, 12)",46055.77036005851
"(0, 1, 2)","(1, 1, 2, 12)",44583.563662973356
"(0, 1, 2)","(1, 2, 0, 12)",76812.22918198259
"(0, 1, 2)","(1, 2, 1, 12)",57468.42816751066
"(0, 1, 2)","(1, 2, 2, 12)",46242.658243145954
"(0, 1, 2)","(2, 0, 0, 12)",47240.36789224973
